fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,July,18,MAHARASHTRA,1833,GONDIA,3368062,207.8207246,36,317,1482.275599,4011,16,37906,5235049,431697,52218,851478,90180,197.72134,12559.51371,145323,226207,235611,608601,4568,352094,835778,41917,10879.51677,3525257,80,21.22,16.16,101.84,NA
2024-2025,July,18,MAHARASHTRA,1802,THANE,191772,291.9052055,29,29,24.89253,1996,29,10699,265353,7779,3327,75255,31643,5.4996,804.97135,9066,15181,28011,90872,280,136527,324416,12695,774.57922,110714,94,51.57,1.77,102.72,NA
2024-2025,July,18,MAHARASHTRA,1803,RAIGAD,75607,313.8835895,19,51,17.4681291,615,194,18044,105999,2413,2883,21163,13524,6.73644,356.9180351,5578,8468,27290,63640,64,190562,343668,18659,332.713466,43063,68,48.76,6.42,104.76,NA
2024-2025,July,18,MAHARASHTRA,1808,JALGAON,719609,304.6517612,27,98,278.2081318,2621,94,39076,1195188,56605,30643,84775,35775,98.05263,4017.422053,42797,63987,134056,330209,1384,666788,1259700,41697,3641.161292,451866,92,54.86,1.27,102.61,NA
2024-2025,July,18,MAHARASHTRA,1811,SATARA,315403,302.234781,32,81,59.73688,1560,453,15182,479661,14744,10886,847,853,32.05665,1541.495903,14929,22207,64733,144672,691,404687,762482,16742,1449.702373,189027,88,67.96,0.35,103.71,NA
2024-2025,July,18,MAHARASHTRA,1814,KOLHAPUR,173558,302.5034675,25,23,18.63019,524,299,11208,307683,30800,17819,406,289,29.22621,978.608144,11931,19075,44604,108168,262,355679,628133,11732,930.751744,121001,92,48.99,0.07,112.7,NA
2024-2025,July,18,MAHARASHTRA,1817,PARBHANI,1824861,327.5917878,36,244,552.6365742,537,47,39330,2854080,96141,20650,18526,2854,197.97559,10100.34386,77401,122182,142360,320300,3847,414623,802011,39867,9349.731697,1101773,90,61.66,0.12,107.78,NA
2024-2025,July,18,MAHARASHTRA,1832,WASHIM,1536064,299.7428919,37,483,100.8955499,1573,2,26246,1969604,128790,19244,54428,6912,129.39513,6134.038668,53225,83597,81954,194667,1897,278395,553869,27819,5903.747988,786193,91,64.8,25.62,99.74,NA
2024-2025,July,18,MAHARASHTRA,1802,THANE,191772,292.1280417,29,29,22.40607,1979,29,10709,263586,7727,3333,74627,31636,5.4996,797.91429,9059,15175,28012,90873,278,136431,324280,12688,770.00862,110018,94,51.53,1.78,102.76,NA
2024-2025,July,18,MAHARASHTRA,1805,SINDHUDURG,185820,299.1682342,26,74,52.0743782,1267,28,17300,236629,6382,3725,503,301,25.98993,785.983109,8923,14276,37576,86516,194,129076,242985,18567,707.9188008,94199,79,76.73,6.55,100.95,NA
